Bio,Talk to Mr. Grant (bio) and Dr. Samadani (sci comps),study for Physics and placement tests in April
CSA,Quiz next week
English,Membean,Essay
History,
Latin,Unit test
Other,UT things,Meetings with Dimitry,Brown summer enrollment/payment,Write one of four topics,Khan Academy BC Calc/Physics,Programming things like this,Overland summer trip
PCH,Study for test,CMIMC
